Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
3/14/25,25.5,25.9,25.5,25.5,8,401019,10225994.1
3/12/25,26,26,25.5,25.5,3,210,5360
3/11/25,25.8,25.8,25.8,25.5,2,10,258
3/10/25,25.2,25.9,25,25.5,8,466287,11887793.9
3/7/25,25.9,26.2,25.2,25.2,14,18841,490156
3/6/25,25.9,26.1,25,25.2,9,980,24794.5
3/5/25,25.8,25.9,25.5,25.6,19,6793,174271.3
3/4/25,25.5,25.9,25.5,25.7,7,37934,967383.5
3/3/25,25.4,26,25.4,25.5,4,4131,105157.4
2/28/25,26,26,25.3,25.4,11,4916,124801.6
2/27/25,26,26,25.1,25.2,15,3384,85479.2
2/25/25,25.6,26.2,25.6,25.6,3,501,12826.7
2/24/25,25.8,25.8,25.5,25.7,24,13874,354953.2
2/21/25,26.1,26.1,25.7,26,24,44695,1162378.8
2/20/25,26.2,26.6,26,26,11,9609,250309.5
2/19/25,26.7,26.7,26.4,26.7,2,1005,26832
2/18/25,26.2,26.9,26.2,26.7,6,1185,31154.5
2/17/25,26.5,27,26.5,27,12,1261,33641
2/14/25,26.6,27.2,26,26.9,33,61646,1630315.4
2/13/25,26.1,26.6,26,26.1,14,5935,154953.8
2/11/25,26,26.6,26,26.2,12,415343,10840371.8
2/10/25,26.2,26.7,25.5,26,29,29243,757432.4
2/7/25,25.9,26.3,25.9,26.1,9,150612,3915963.3
2/6/25,25.9,26,25.9,26,9,3093,80333.7
2/5/25,26,26.5,25.9,26.3,30,9467,247405.2
2/3/25,26.5,26.5,26,26,32,36160,949860.1
1/31/25,26.1,27,26,26.4,78,134179,3563044.8
1/30/25,26,26.5,25.9,26,14,16617,432575.1
1/29/25,26,26.5,26,26.5,17,4776,126487.1
1/28/25,26.2,26.4,26,26,37,61248,1594916.5
1/27/25,25.9,26.6,25.9,26.1,15,6622,173596.7
1/24/25,26.5,26.5,26,26.1,22,33203,866418.4
1/23/25,26.3,26.5,25.9,26.3,27,32129,842659.4
1/22/25,26,26.3,26,26.3,11,18050,470888.8
1/21/25,26.1,26.5,25.9,26,27,4567,120767
1/20/25,26.4,26.5,26.1,26.2,20,28829,755405.5
1/17/25,26.1,26.7,26.1,26.4,21,13289,351742.3
1/16/25,25.5,26.5,25.2,26.3,44,422310,10983100.8
1/15/25,25.1,25.5,25,25.4,19,6190,155252.4
1/10/25,25.1,25.4,25,25.3,17,27070,679330
1/9/25,25.3,25.3,25.1,25.1,14,20196,510077
1/8/25,25.6,25.6,25,25.3,18,15753,395962.9
1/7/25,25.8,25.8,24.6,25.6,18,10796,274289.2
1/6/25,25.9,25.9,24.6,24.9,30,9317,234519.2
1/3/25,25.8,25.9,25.3,25.5,41,90964,2315509.7
1/2/25,25.2,25.8,25,25.2,51,47647,1200885.8
12/31/24,26,26.2,25.6,25.7,16,4848,126099.2
12/30/24,26.3,26.3,25.2,25.3,53,42012,1071554.7
12/27/24,26,26,25.8,25.9,16,22339,578162.4
12/26/24,25.5,26.3,25.2,25.8,38,30083,775112.5
12/24/24,25.6,25.6,25.2,25.2,25,6157,155862.1
12/23/24,25.1,26,25.1,25.6,31,8426,215971.3
12/20/24,24.9,25.6,24.9,25,31,24351,617724.9
12/19/24,25,25.4,24.7,25.2,20,39401,985005
12/18/24,24.6,25.2,24.6,25,22,45970,1148018
12/17/24,24.6,24.8,24.1,24.7,10,1541,37836.1
12/16/24,25.4,25.4,25,25,20,88412,2228460.8
12/13/24,25.5,25.5,25,25,19,33499,838422.9
12/12/24,24.9,25.7,24.9,25.6,70,9441049,240742501.4
12/11/24,24,25,23.9,25,31,25664,632078.9
12/10/24,24,24.9,23.8,24.2,12,614,14835.7
12/9/24,24.1,25,23.8,25,28,38833,969767.5
12/6/24,25.3,25.3,24,24.2,17,3828,92895.5
12/5/24,24.9,25.7,23.5,24.7,68,69203,1734293.3
12/4/24,25.4,25.5,24,25,34,26813,670198.2
12/3/24,24.1,25.5,24.1,25.4,50,122033,3077880.1
12/2/24,23.5,24.3,23.5,24,14,53773,1289712.6
11/29/24,23.4,23.4,23.4,23.4,5,701,16403.4
11/28/24,23.6,23.6,23.4,23.4,7,2971,69847.4
11/27/24,23.7,24,23.6,23.7,6,700,16577.2
11/26/24,23.6,24.3,23.6,24,6,607,14568.3
11/25/24,24.5,24.5,23.3,24.2,20,1465,35166.7
11/22/24,23.5,26,23.1,24.2,100,300621,7380328.8
11/21/24,23.5,23.5,23,23.5,11,11803,272930
11/20/24,23.5,23.5,22.9,23.1,8,346,7959
11/19/24,23.3,23.3,23,23.1,15,10106,233314
11/18/24,23,23.1,22.9,23.1,18,42344,977078.7
11/14/24,22.8,23.2,22.7,23.1,5,3129,71240.2
11/13/24,23,23,22.7,22.8,12,2169,49356
11/12/24,23.1,23.1,23,23,14,6915,159155
11/11/24,22.3,23.1,22.3,23.1,40,33001,741259.9
11/8/24,22.3,23.1,22.3,23.1,69,84435,1899599.3
11/7/24,23,23.1,22.7,22.8,61,76513,1744489.5
11/6/24,23.2,23.3,23.1,23.3,9,5315,123004.7
11/5/24,23.2,23.3,23.1,23.2,21,2717,63039
11/4/24,23.9,23.9,23.1,23.3,18,53773,1242430.7
11/1/24,23.7,23.9,23,23.9,18,3536,82652.5
10/30/24,23.6,24,23,23.4,48,27582,647835.6
10/29/24,23.5,23.8,23.5,23.6,9,1681,39728.3
10/28/24,23.5,23.6,23.4,23.5,14,5287,124243.3
10/25/24,23.5,24.8,23.5,23.5,58,105855,2557940
10/24/24,23.5,24,23.2,23.7,21,21881,512332.3
10/23/24,23.5,23.5,23.3,23.3,18,21002,490455.6
10/22/24,23.3,25,23.3,23.5,50,92067,2154811.2
10/21/24,23.4,23.4,22.7,23,10,6514,151423.8
10/18/24,23.1,23.4,23,23,27,10964,253181.7
10/16/24,23.4,23.5,23.4,23.4,25,12840,300483
10/15/24,22.6,23.4,22.5,23.4,34,23679,541325.5
10/14/24,22.5,22.6,22.4,22.5,54,33604,755691.2
10/11/24,22.8,22.8,22.5,22.6,8,561,12688.3
10/10/24,22.5,22.8,22.4,22.7,14,4717,106147.6
10/9/24,22.4,22.9,22.4,22.4,16,6665,149605.1
10/8/24,22.4,22.4,22.3,22.4,14,8328,186234.7
10/7/24,22.4,22.4,22.2,22.3,33,6516,145155.9
10/4/24,22.4,22.4,22.4,22.4,17,2907,65116.8
10/3/24,22.4,22.4,22.1,22.2,41,18439,410040.3
10/2/24,22.6,22.6,22.3,22.4,32,17541,392933.2
10/1/24,22.5,22.5,22.4,22.4,35,17392,390273.6
9/30/24,22.5,22.9,22.3,22.8,34,14347,326048.1
9/27/24,22.5,22.5,22,22.5,33,7923,176127.6
9/26/24,22.1,22.7,22.1,22.2,68,49839,1112490.9
9/25/24,22.6,23,22.5,23,124,308845,7035341.4
9/24/24,22.8,22.8,22.4,22.5,227,555310,12500274.8
9/23/24,23.5,23.5,22.8,22.8,57,26541,608351
9/20/24,23.9,23.9,23,23.5,42,99737,2294875.8
9/19/24,23.9,23.9,22.9,23.2,99,267752,6162340.6
9/18/24,22.9,23.9,22.9,23.1,78,55350,1284888.1
9/13/24,22,22.4,21.9,22.4,21,18175,399890.3
9/12/24,22,22,21.9,22,8,1861,40922
9/11/24,22,22,22,22,8,1087,23914
9/10/24,22.5,23,21.9,22,28,11853,260925.1
9/9/24,22.3,22.6,22.3,22.3,18,9526,212430.1
9/6/24,22.3,22.5,22.3,22.5,18,19183,427851.9
9/5/24,22.6,22.6,22.2,22.3,17,2274,50737.3
9/4/24,22.5,22.8,22.3,22.5,9,10003,225067.4
9/3/24,22.5,22.5,22.4,22.5,27,23312,524511
9/2/24,22.8,22.9,22.5,22.5,22,14707,333938.2
8/30/24,22.6,22.8,22.6,22.8,5,2350,53230
