Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
3/14/25,7.8,7.9,7.6,7.7,305,3501087,27092728.6
3/12/25,7.8,7.9,7.5,7.8,423,4446185,34304156
3/11/25,7.8,7.9,7.6,7.8,358,4507341,34817993
3/10/25,7.9,8,7.8,7.8,175,4324021,34021174.1
3/7/25,7.9,8,7.8,7.9,217,2999919,23721849.6
3/6/25,8,8.2,7.9,7.9,378,8384111,67406114.2
3/5/25,7.7,8.1,7.7,8,542,8430863,66899701.6
3/4/25,7.8,7.9,7.6,7.7,634,11663173,90051687.5
3/3/25,8,8.1,7.7,7.8,605,7871102,61616204.8
2/28/25,8,8.1,7.9,8,326,5909896,47329136.3
2/27/25,7.9,8.1,7.8,8,605,5617301,44723469
2/25/25,8,8.2,7.8,7.9,736,13428391,107065619.3
2/24/25,8.2,8.3,8,8.1,642,14183805,114889386.1
2/21/25,8.3,8.4,8.2,8.3,361,3541482,29297369.9
2/20/25,8.4,8.5,8.1,8.3,793,25328038,207709293
2/19/25,8.6,8.7,8.3,8.4,542,12970310,109263953.8
2/18/25,8.5,8.7,8.5,8.5,547,12517633,107134352
2/17/25,8.7,8.7,8.5,8.5,570,8698181,74709116.1
2/14/25,8.5,8.8,8.4,8.7,697,10460697,90099100.3
2/13/25,8.3,8.5,8.2,8.5,467,5483912,46251704.1
2/11/25,8.5,8.6,8.2,8.3,959,14191276,117912745.6
2/10/25,8.7,8.8,8.4,8.5,769,15587335,132980537.3
2/7/25,8.6,8.8,8.6,8.7,487,13246458,115287860.1
2/6/25,8.5,8.8,8.4,8.6,1161,49246938,423971088.9
2/5/25,8.9,9,8.4,8.5,1891,62290004,541310996.5
2/3/25,9.1,9.1,8.8,8.9,1096,24902354,222700920.1
1/31/25,9.2,9.2,8.9,9.1,917,18412658,166270145.3
1/30/25,9.4,9.4,9.1,9.1,1032,22973260,211029790.6
1/29/25,9.2,9.4,9.1,9.3,2048,73795196,681713929.1
1/28/25,8.6,9.2,8.5,9.1,2099,69417693,616960983.1
1/27/25,8.7,8.9,8.5,8.5,799,23369307,202386065.4
1/24/25,8.7,8.8,8.4,8.6,1523,66547984,572441886.7
1/23/25,8.7,8.9,8.5,8.8,2139,55301511,481782225.3
1/22/25,8,8.7,8,8.6,3341,117909453,984598723.1
1/21/25,7.9,8,7.8,7.9,857,14156093,111870257.9
1/20/25,8,8.1,7.9,7.9,432,5088908,40534379.6
1/17/25,8.1,8.2,7.9,8,807,15383435,123456181
1/16/25,8.2,8.2,8,8.1,878,16821637,136912182.6
1/15/25,8,8.2,8,8.1,1734,39980735,323243627.6
1/10/25,7.7,8,7.4,7.9,1499,43742698,336419493.4
1/9/25,7.7,7.9,7.5,7.7,1134,34178773,263081978
1/8/25,7.9,8,7.7,7.8,831,17396646,136683488.4
1/7/25,8,8.1,7.7,7.9,1166,33164653,261716665.2
1/6/25,8,8.3,7.7,8,2389,87843650,697785978.4
1/3/25,8.3,8.3,7.6,7.8,3459,132492995,1063885657
1/2/25,7.1,8.3,7.1,8.1,5066,137916241,1079474826
12/31/24,7.1,7.2,6.9,7.1,1024,33929892,239611933.2
12/30/24,7.2,7.3,7,7.1,1020,43605082,311347705.8
12/27/24,7.2,7.3,7,7.1,1454,40045599,285725559.2
12/26/24,6.9,7.2,6.9,7.1,1567,52185804,368185663.7
12/24/24,6.8,7,6.7,6.8,1647,44947184,309327440.5
12/23/24,6.6,7.1,6.5,6.9,3214,91855699,628998102
12/20/24,6.4,6.6,6.3,6.5,773,29258902,188087041.2
12/19/24,6.4,6.5,6.3,6.4,630,12296711,78963342.1
12/18/24,6.4,6.4,6.2,6.4,475,9887573,62742553.2
12/17/24,6.3,6.5,6.2,6.3,806,17489849,110802047.4
12/16/24,6.1,6.4,6.1,6.3,831,18520157,115710508.9
12/13/24,6.2,6.3,6.1,6.1,638,12590512,77512178.5
12/12/24,6.2,6.3,6.1,6.1,490,7239567,44646915.3
12/11/24,6.4,6.5,6.1,6.2,930,20380996,128949826.4
12/10/24,6.1,6.5,6.1,6.4,1517,33033324,208184813.5
12/9/24,6,6.1,5.9,6,383,6562825,39526967.2
12/6/24,6,6.1,5.9,5.9,454,9657186,57536193
12/5/24,6,6,5.9,5.9,266,4693303,27819158.5
12/4/24,6,6.1,5.8,5.9,716,13468194,79782862.9
12/3/24,6.1,6.1,5.9,6,363,8998272,54082672.4
12/2/24,5.9,6.1,5.9,6,273,7151332,42913471.8
11/29/24,6,6.1,5.9,6,298,5741172,34197355.7
11/28/24,5.9,6.2,5.9,5.9,439,11219432,67219785.4
11/27/24,6,6,5.8,5.9,241,1991182,11753518.7
11/26/24,5.9,6,5.9,5.9,241,3638709,21535172.3
11/25/24,6,6.1,5.8,5.9,597,9585783,56716705.8
11/22/24,6.2,6.2,6,6,384,3976840,24097455.6
11/21/24,6.3,6.3,6,6.1,525,11530873,70548465.4
11/20/24,6.3,6.4,6.2,6.3,192,2181796,13619776.2
11/19/24,6.4,6.5,6.2,6.3,621,11033089,70035155
11/18/24,6.6,6.8,6.4,6.5,1202,27093805,179402686.6
11/14/24,6.4,6.7,6.3,6.5,2130,74300869,481746808.3
11/13/24,6.1,6.4,6.1,6.3,913,21474736,134979808.3
11/12/24,6,6.3,6,6.1,740,20874750,128366814.9
11/11/24,6,6.1,5.9,6,350,8437328,50160141.5
11/8/24,5.9,6,5.8,5.9,222,4169929,24530538.1
11/7/24,5.9,6,5.8,5.8,145,1155602,6786921.2
11/6/24,6,6,5.8,5.8,248,5587208,32746671.9
11/5/24,5.9,6,5.8,5.9,170,2565356,15120400.4
11/4/24,6,6.1,5.9,5.9,314,6180784,36711468.4
11/1/24,6,6.1,5.8,6,414,7770513,46494471.2
10/30/24,6,6,5.8,5.9,395,5131033,30348952.9
10/29/24,6.1,6.2,5.9,5.9,491,10111256,60911600.4
10/28/24,5.7,6.2,5.7,6.1,1090,30225796,181272180.7
10/25/24,5.7,5.8,5.6,5.7,282,3953132,22456904
10/24/24,5.6,5.8,5.6,5.7,362,5375267,30490170.9
10/23/24,5.6,5.7,5.5,5.6,402,7577575,42471287.9
10/22/24,5.7,5.8,5.6,5.7,238,5830635,33190349.9
10/21/24,5.7,5.8,5.7,5.7,211,2646820,15095591.7
10/18/24,5.8,5.9,5.7,5.7,226,3361343,19191162
10/16/24,5.7,5.9,5.7,5.8,254,4685673,27028555.8
10/15/24,5.7,5.9,5.7,5.7,289,4021589,23236440.9
10/14/24,5.8,5.9,5.7,5.7,189,2515989,14516414.8
10/11/24,5.7,5.9,5.7,5.8,279,5661234,32665032.4
10/10/24,5.8,5.8,5.5,5.6,343,6063474,34190069.3
10/9/24,5.7,5.9,5.6,5.7,269,4616345,26441773.1
10/8/24,5.8,5.8,5.6,5.7,302,4205778,23949617.5
10/7/24,5.8,5.9,5.7,5.8,255,5126122,29730251.4
10/4/24,5.7,5.9,5.7,5.8,224,2349622,13528143.1
10/3/24,5.8,5.9,5.6,5.7,326,3721806,21323397.3
10/2/24,5.9,6,5.7,5.8,445,7422953,43250917.8
10/1/24,6,6,5.8,5.9,451,5452771,32228517.4
9/30/24,6,6.1,5.8,5.9,540,10542595,62990822.4
9/27/24,5.9,6,5.8,5.9,501,12130835,71502643.2
9/26/24,6,6.3,5.8,5.9,1489,33497522,200850139.6
9/25/24,5.6,6,5.5,5.9,1072,20209741,116529714.1
9/24/24,5.4,5.6,5.4,5.5,620,9259968,50969433.5
9/23/24,5.2,5.5,4.9,5.3,490,9285737,48314722.5
9/20/24,5.3,5.4,5.1,5.3,421,6722106,35304005.3
