Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
3/14/25,197.75,198,196.25,196.75,75,51003,10082982.75
3/12/25,197.75,197.75,193,195.75,101,381846,74318800.25
3/11/25,198,200,194,195.25,65,44599,8697246.75
3/10/25,200,200,195,195.5,117,134421,26478276.5
3/7/25,199.25,200,198.5,198.5,66,58097,11559019.5
3/6/25,200.25,205,199,199.25,138,350345,70457568
3/5/25,197,200,197,200,236,647238,129346503.3
3/4/25,201,201,195,198,130,93039,18402209.75
3/3/25,205.5,208.5,200,200.5,109,82146,16590078.75
2/28/25,208.5,208.5,205.5,205.75,72,83297,17165204.25
2/27/25,206,210,205,208.75,97,180406,37264363
2/25/25,208,212,201.25,206,123,141101,28934958.75
2/24/25,213.25,214,207.25,209.75,107,121381,25505299.75
2/21/25,218,220,214,216.75,95,53383,11587442.75
2/20/25,224.5,224.5,216.75,217.25,83,52118,11330978.25
2/19/25,225,225.75,217,222,152,421208,93012762.75
2/18/25,226,226,221.5,222,124,111998,25102822.5
2/17/25,223,226,222.75,225,300,704921,158304715.5
2/14/25,212.5,223.75,212.5,222.25,390,674123,147792847.8
2/13/25,200,213.75,200,212,242,232452,48244737.25
2/11/25,205,205,199.5,200,137,60171,12072219
2/10/25,211,211,201,205,81,28445,5898713.25
2/7/25,210,211,207,210,73,68949,14455717.5
2/6/25,201.25,213.75,201.25,210.25,231,269816,56368760.5
2/5/25,215.25,217.75,206,208.75,254,184436,39149478.75
2/3/25,220.25,222.5,215,215.25,214,334231,73144838.75
1/31/25,212.75,222,212.75,220.25,245,499829,109488255.3
1/30/25,217,217,211,213.5,89,68327,14549222.75
1/29/25,212.5,218,212.5,214.75,169,202332,43510524.25
1/28/25,202,214.25,202,213.25,193,461987,95472136.5
1/27/25,206,206,201,203.75,103,252625,51399846.75
1/24/25,207,207.5,200.25,204,155,138025,28311358
1/23/25,195,209,195,206.25,475,902179,181570024.8
1/22/25,187,194.75,185,193,272,617936,116411177.5
1/21/25,185,187,184,185,174,541725,100138107.5
1/20/25,185,185.5,183.75,184.5,75,61025,11267032.75
1/17/25,187,187.75,184,185,79,120989,22413771.25
1/16/25,183,186.5,183,185.75,137,252153,46785620.5
1/15/25,185,187,183,185.5,112,136157,25240938.5
1/10/25,181,185,180.25,183.75,114,76080,13963751.25
1/9/25,184.75,186.5,181,182.5,140,144784,26481625.25
1/8/25,185,191,182,183,154,157197,29307549
1/7/25,189,189,181,185.5,153,100165,18469338.25
1/6/25,192,196,180,190.75,309,272885,51889008
1/3/25,194.5,198,188.25,191.75,418,1089702,211950726.8
1/2/25,190,195,186.5,194,291,601879,116470798.8
12/31/24,185,191,180.5,190,283,511061,96352287.75
12/30/24,191.5,194.75,184.5,185,177,166758,31588114.5
12/27/24,192.75,194.5,184,188.25,338,709021,134309219.5
12/26/24,184.5,193.25,181.25,189.75,270,411797,77011385.5
12/24/24,176,185,172.25,184.25,357,775799,140325235.3
12/23/24,169,176,167.5,175,427,1089538,189667092.3
12/20/24,159.5,169.75,159,167.25,354,867173,142993545.5
12/19/24,156.5,160,154.5,158,208,333550,52147449.75
12/18/24,151,155.25,150.25,155,174,396795,61324370.5
12/17/24,155,156.5,146.25,151.25,270,380518,57448757.25
12/16/24,148.5,155.5,148.25,155,334,852818,129434129
12/13/24,139.5,148,139.5,147.25,349,557712,80936112.25
12/12/24,140,141.5,139.5,139.5,140,317569,44451449.75
12/11/24,140.5,142,139.25,140,123,114700,16072604.5
12/10/24,140,142,139.5,141.75,177,535977,75620108
12/9/24,137,140.25,137,139.75,145,325805,45433193.25
12/6/24,136.5,140.5,136.5,137,226,458926,63994464.75
12/5/24,140,141,136,138.25,174,117956,16385741.25
12/4/24,136,140.75,136,139.75,366,728032,100943534.3
12/3/24,130.5,136.5,130.25,135.75,371,790663,105786430
12/2/24,128,131,127.5,129.5,196,613054,78675961.5
11/29/24,125.75,128,125,127.25,88,432569,54495879
11/28/24,124,125.75,124,125.5,94,172572,21603448.25
11/27/24,123,124,123,124,20,5996,741655
11/26/24,123,123.5,122.25,122.75,86,80132,9853916.5
11/25/24,125.5,125.75,122.5,123,73,65533,8071467.25
11/22/24,125,127,125,125,52,37762,4720886.75
11/21/24,127.25,127.5,124,125,47,44912,5595234.5
11/20/24,127.75,127.75,124.75,124.75,29,69934,8740322.5
11/19/24,128,128,125,126,117,185552,23343144.75
11/18/24,125.5,128,125,127.25,184,586769,74041010
11/14/24,124.25,125.75,123.25,125,81,290654,36241435.25
11/13/24,126,126,124.25,124.75,172,479523,59934643.75
11/12/24,123.25,128,123.25,126,153,211342,26583832.25
11/11/24,123,124,122.5,122.75,74,94319,11614769.5
11/8/24,125,126,123,123.25,58,42945,5295749.25
11/7/24,122.25,123.5,122.25,123,64,54519,6709037.5
11/6/24,123,123.5,122,122.75,85,44640,5470481.75
11/5/24,127.25,127.25,123,123.75,132,103762,12831334.75
11/4/24,128.5,128.5,124.75,125,74,20493,2595373.5
11/1/24,126.75,128.5,125,128,169,503243,64315063
10/30/24,123.25,127,122.5,125.5,354,790498,99181865.25
10/29/24,122,123.25,120,120.75,85,141110,17027682.75
10/28/24,122.25,124,122,122,60,716605,88670526
10/25/24,123.5,124,122.25,123,78,1106355,136992154.5
10/24/24,123.75,124,122,122,54,825319,101358198.3
10/23/24,121,123.5,120,123,130,616191,74830365.5
10/22/24,121.5,121.5,118.75,120,28,15299,1819437.5
10/21/24,121,122,118.75,119,32,121375,14478937
10/18/24,117,122.75,117,122.25,129,143948,17265721.75
10/16/24,118,118,117,117.5,20,10688,1257431
10/15/24,119,120,117,117,32,22787,2680287.25
10/14/24,120,120,118.25,118.5,22,15958,1892932.25
10/11/24,118,119.75,116,119.25,53,260599,30476380.5
10/10/24,116.5,119,116,118,43,40150,4706702.75
10/9/24,118,118.5,116.5,118,23,11509,1358156.5
10/8/24,119.25,120,118.25,118.5,33,31423,3748219
10/7/24,119.25,120.25,118.5,119.25,103,698580,83762610.75
10/4/24,121,121,118,119.25,21,25864,3080625
10/3/24,118,120.75,115.25,119.5,113,488450,57983464
10/2/24,117,118,114.5,117,75,119137,13936499.75
10/1/24,115.5,120,114,117.25,158,320417,37786169.75
9/30/24,112.75,117,112.75,115,148,189217,21852212.5
9/27/24,113,113,109,110.75,87,56995,6285468.25
9/26/24,115.5,119,110,112.25,43,14554,1645129.75
9/25/24,109.75,115,109,113.5,131,268722,30161957.75
9/24/24,107,109,105,107.25,57,26483,2831932.25
9/23/24,105,107,102.5,104,41,31312,3251929.75
9/20/24,105,107,104,105,33,28480,2973465.5
9/19/24,105,107,103,104,62,98851,10292200.75
9/18/24,105,106,103.25,104,46,85040,8845185.5
9/13/24,104.5,104.5,104,104,9,3570,371302.5
