Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
3/14/25,50.8,50.8,45,46,184,227633,10527503
3/12/25,50.9,50.9,50,50,9,389,19601.5
3/11/25,49,49.9,48,49,10,1951,95602.5
3/10/25,50.1,51.5,47,48.9,48,20656,1014108.9
3/7/25,49.9,49.9,49.5,49.5,28,7063,349911.9
3/6/25,52,52,49.9,49.9,15,5203,263329.2
3/5/25,50,52,50,50.7,26,11918,616710.5
3/4/25,50.2,50.5,49.9,49.9,37,3452,172869.4
3/3/25,52,52,50.2,50.5,40,16193,823576.8
2/28/25,52.4,52.4,51.2,51.3,8,503,25807.2
2/27/25,52,52.4,51.4,51.5,7,645,33292
2/25/25,51.7,53,51,51.1,36,4326,221190.8
2/24/25,52,52.7,51.7,51.8,15,4149,215012.9
2/21/25,52,52.9,52,52,7,1716,89235.6
2/20/25,53,53,52,52,14,12045,636865.4
2/19/25,53,53,52,52,20,41258,2147587.6
2/18/25,53,53,52,52.9,9,1211,63609.8
2/17/25,53,53,52,52.2,23,7724,404361
2/14/25,53.1,53.1,52,52,51,44990,2366589
2/13/25,52.5,53.9,52.1,53.5,20,1927,101340.5
2/11/25,54,54,53,53,19,7802,416646
2/10/25,54.1,55.3,53.6,53.6,13,1001,53916.1
2/7/25,54.1,55.8,54.1,55.3,7,2156,119122.6
2/6/25,54.1,55,53.5,53.5,25,6484,350623.3
2/5/25,55,56,54.1,54.1,40,18120,1000668.4
2/3/25,55.1,56.8,54.5,55.3,39,24628,1362363.5
1/31/25,55.5,55.5,54.6,55,15,4161,229559.4
1/30/25,54.5,55.9,54.5,55.5,47,22916,1271602.5
1/29/25,54,55.9,54,54.1,27,12279,663426.3
1/28/25,55,55,54,54.2,40,41185,2235097.5
1/27/25,56.9,56.9,53.5,53.7,45,24753,1329831.6
1/24/25,55.1,56.9,54,54.3,35,24179,1312189.7
1/23/25,55,57,53.8,55.6,76,25673,1417252.2
1/22/25,55.7,56,54.2,55.7,77,9796,543297.8
1/21/25,54.5,55.9,54,55.7,42,16313,898042.7
1/20/25,53.5,54.5,52.9,54,55,11899,631921
1/17/25,54.8,54.8,53.5,53.5,27,7276,390128.7
1/16/25,54.5,54.9,54,54.5,32,9408,511872.8
1/15/25,54.8,54.8,53.1,54.5,22,6080,330760.8
1/10/25,54.4,55.5,52.3,54.9,32,9511,516730.8
1/9/25,54.3,55.2,53,53.7,23,3689,198266.4
1/8/25,54.2,55.4,54.2,54.3,41,8298,456431.8
1/7/25,52.8,54.6,52.2,52.3,55,35175,1838956.4
1/6/25,54,55.2,52,52.8,83,54858,2913839.7
1/3/25,56.7,56.7,54.6,55.3,91,78111,4330706.4
1/2/25,57,57.5,56,56.4,41,11733,663372.5
12/31/24,57.8,58.2,56,56,67,45168,2560204.9
12/30/24,58,58.7,57,57.4,51,39200,2251548.4
12/27/24,59.4,60,57,57,55,25616,1481124.8
12/26/24,59.4,59.7,57.5,58,66,45034,2628141.7
12/24/24,56.1,60,56,59,237,344364,20142436.4
12/23/24,52,57.5,52,56.7,174,203862,11455795
12/20/24,53,53,51.7,52.3,77,208354,10883197.4
12/19/24,52.5,53,52.5,52.9,15,8304,439286
12/18/24,52.2,53,52.2,52.8,28,7050,372101.6
12/17/24,53,53,52.9,52.9,7,663,35083
12/16/24,53.9,53.9,52.5,52.8,56,69737,3694487.8
12/13/24,53,54.5,53,53.8,20,9625,515648.6
12/12/24,54.3,54.7,53.1,54.4,24,15342,829950.2
12/11/24,54.5,54.5,53,53.4,35,18684,998047.2
12/10/24,53,54.7,52.5,54,101,149175,7934558.2
12/9/24,51.3,52.5,51.3,52,44,54738,2839960.8
12/6/24,51.5,51.5,51.3,51.3,17,2208,113447.6
12/5/24,51,52.1,51,51.3,27,11106,571686.6
12/4/24,51,51,50.5,50.6,49,13027,660427.1
12/3/24,50.5,50.9,50.4,50.9,17,7259,366786.2
12/2/24,51.3,51.3,50.5,50.7,6,2356,119460.3
11/29/24,50.4,51.3,50.4,50.6,7,641,32351.9
11/28/24,51.3,51.3,50.5,50.5,6,664,33557.2
11/27/24,50.6,50.7,50.4,50.6,13,3157,159645.2
11/26/24,50.6,50.9,50.4,50.5,9,160,8084.7
11/25/24,51.4,51.5,51,51,7,3537,180602
11/22/24,51.7,51.7,51.6,51.6,2,22,1135.4
11/21/24,50.9,51.8,50.5,51.6,8,454,23258.7
11/20/24,51.9,51.9,50.9,51.8,10,10964,567075.6
11/19/24,51,51.9,50.9,51,8,2599,132471.9
11/18/24,52,52,50.9,50.9,31,14176,726433.3
11/14/24,52,52,51.8,52,8,5505,286259
11/13/24,51.9,52,51.8,52,35,19054,989880.1
11/12/24,51.2,52,51.2,51.8,13,403,20805.8
11/11/24,52,52,51.9,51.9,7,1351,70152
11/8/24,52.3,52.3,50.5,50.9,20,13907,706342.5
11/7/24,51,52.9,50,50.6,54,47820,2402727.4
11/6/24,51.2,52.5,50.8,51.1,10,101727,5188338.5
11/5/24,52.9,52.9,51,51,25,33005,1685363.8
11/4/24,52.8,53,51,51,67,23815,1217984.5
11/1/24,53.4,53.4,53,53.2,8,3450,183484.8
10/30/24,53,53.4,52.8,53,25,6634,352619.1
10/29/24,53.5,54.8,52.9,53,91,84210,4571271.5
10/28/24,52.2,53.8,51,53.3,50,5968,311697.8
10/25/24,52.3,52.4,50.5,51.5,12,4883,253533.1
10/24/24,51.2,52.4,51.2,52,40,22458,1159145.3
10/23/24,50.5,50.6,50,50.5,4,551,27830
10/22/24,51.3,51.4,50,50.8,10,1270,64083.9
10/21/24,50,51.1,49.9,51,27,223491,11178234.8
10/18/24,50,50.7,49.6,50,18,2095,104636
10/16/24,50.6,50.8,49.8,49.9,18,1952,97904.6
10/15/24,50.6,50.6,49.9,50.1,19,1625,81999
