Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
3/14/25,309.5,312,305.25,306.5,236,308504,95477343.5
3/12/25,303.5,310,303.5,308.75,229,459975,141130426
3/11/25,311,311,301,303.5,546,1880724,582044887.5
3/10/25,315,315,310.25,311,148,111943,34965118.5
3/7/25,312,316,309.5,314.25,184,228403,70939221.25
3/6/25,315,320,311.5,312,395,406574,127146745.3
3/5/25,309.25,314.5,309.25,313.75,661,4587579,1423939399
3/4/25,316,316,305,310,483,1574804,489461700.8
3/3/25,325,325,315,315.75,368,295489,94498431
2/28/25,318.5,326,318.5,324.75,285,521041,168536639.8
2/27/25,319,319.25,315,318.5,379,150643,47782718.75
2/25/25,330,330,318,318.5,683,714369,229662037.3
2/24/25,338,338,327,327.5,742,770858,254616351.8
2/21/25,339,339,333,333.5,280,618817,206566688.3
2/20/25,340,340,331,332.75,377,275148,91653787.5
2/19/25,342,345,338.75,339.5,340,496178,169210486.3
2/18/25,335,345,335,341.25,497,806310,274181476.3
2/17/25,335,335,331.25,333.75,431,782728,260779269
2/14/25,328.5,335,328.5,331.5,678,1659478,548103260.3
2/13/25,329,330,328,328.25,402,500408,164781785
2/11/25,335,335,329,329.5,383,478627,158035226.8
2/10/25,337,337,333,335,308,538463,180449516
2/7/25,334.5,342,334.5,337,225,176471,59703365
2/6/25,334,335.75,329.25,334.25,579,1326272,443403106
2/5/25,343.75,344.75,333.5,334,656,667642,224499168.8
2/3/25,350,350,341,344.5,301,176421,61202691.75
1/31/25,353,353.5,349,349.75,173,504150,176492102.5
1/30/25,353.25,354.75,352,352.25,260,438858,154963529.8
1/29/25,359.5,359.5,352.75,353.25,337,567619,201402055.8
1/28/25,353.75,359.5,350.25,355.5,569,1357623,480749545
1/27/25,350,353,346.75,350.25,575,741827,259325495.5
1/24/25,359.75,359.75,341.5,346.25,820,2499455,866508091.5
1/23/25,351.5,362,351.5,360.5,1006,2314860,830869589.8
1/22/25,336,350,336,349.25,1040,3030448,1045991906
1/21/25,331,336,331,334.75,549,1953670,651560204.3
1/20/25,328,330,328,330,268,719123,236874420.8
1/17/25,329,329,327.25,327.75,222,677672,222306557.5
1/16/25,328,329.5,326.5,328,266,1818355,596739185.5
1/15/25,321.5,330,321.5,329.5,572,1470397,484504935.5
1/10/25,309.75,326.75,308.75,323.5,651,984380,313284020.5
1/9/25,313,316,308,309.75,313,718329,222810950.5
1/8/25,314.5,315,310,310.75,474,563985,176288187
1/7/25,315.25,318.5,312.5,314.25,330,288253,90804814.75
1/6/25,320,324,310,318.75,747,1364736,432399280.5
1/3/25,326,326,318.5,320.25,649,1508675,487299670.3
1/2/25,321,327.5,320.25,325.5,570,1867081,606575194
12/31/24,317.25,324,317.25,319.75,649,2148061,687890681.3
12/30/24,303,320,303,317.25,843,3511830,1100536632
12/27/24,293.5,305,292,301.5,638,8920295,2657159775
12/26/24,286,295,283,293.75,435,899832,261819605.5
12/24/24,284.5,286,278,284,357,658205,186292901.5
12/23/24,280,285,279.75,281.5,530,2037500,577938370.5
12/20/24,275,275,271.25,272,309,1378768,375530652.8
12/19/24,278,278,271.75,272.25,313,728461,199457925.3
12/18/24,271,280.25,270,275.5,423,2452615,671128525
12/17/24,274,275,262,272,527,1279786,347118354.3
12/16/24,260.25,280,260.25,274,863,1458878,395822929.8
12/13/24,249.25,259,249.25,254.75,436,1643103,415902688.5
12/12/24,243,249.5,243,249,312,849973,209929561.5
12/11/24,240,243,240,242.75,128,170843,41313444.5
12/10/24,243,244,242,242.5,143,302709,73475111.75
12/9/24,240,242.75,239.5,242,159,295375,71315984.75
12/6/24,240,242,239.5,240,171,509441,122317940.5
12/5/24,238,242,238,240.25,303,1355610,325363917.8
12/4/24,236,239,235,238,140,217681,51753173.25
12/3/24,234,236,233,235.25,153,707183,166141376.3
12/2/24,232,234,230,233.5,109,238096,55302241.5
11/29/24,235,236,232,232.5,122,1629866,382812402.5
