Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
3/14/25,1250,1276.5,1250,1250.25,13,35284,44120173.25
3/12/25,1250,1265,1250,1250,12,53917,67396370
3/11/25,1275,1276.75,1223,1250,26,15122,18957596
3/10/25,1210,1235,1210,1210.25,2,551,666860
3/7/25,1209,1209,1209,1201.75,1,5,6045
3/6/25,1207,1235,1207,1201.75,2,16,19424
3/5/25,1235,1235,1235,1201.75,2,5,6175
3/4/25,1204,1235,1200,1201.75,17,406,487874
2/28/25,1206,1279.25,1205,1278.75,9,1088,1389619.75
2/27/25,1260,1260,1255,1279.5,3,10,12595
2/25/25,1279.5,1280,1260,1279.5,14,409,523297.5
2/24/25,1279,1279,1260,1279,6,444,561853
2/21/25,1279,1279,1260,1279,2,1005,1285300
2/20/25,1260,1279,1250,1281.5,4,20,25300
2/19/25,1264,1264,1264,1281.5,1,1,1264
2/18/25,1283,1283,1283,1281.5,1,3,3849
2/17/25,1250.5,1284.75,1250.5,1281.5,10,510,653582.5
2/14/25,1276,1284.75,1250,1250.75,37,222117,277716300.5
2/13/25,1284.75,1284.75,1252,1276,15,168,214351.75
2/11/25,1284,1284,1255,1284.5,4,5,6387
2/10/25,1250,1285,1250,1284.5,8,145,185100
2/7/25,1280,1288,1232,1278.25,7,101,129099.25
2/6/25,1230,1232,1230,1230.25,22,452,556018.5
2/5/25,1245,1260,1233.5,1241.75,29,12771,15934793.5
2/3/25,1238,1238,1235,1234,2,30,37053
1/31/25,1240,1242,1240,1234,2,11,13660
1/30/25,1236.5,1236.5,1234,1234,3,9510,11735365
1/29/25,1240,1240,1234,1234,5,1742,2158678
1/28/25,1269.5,1269.5,1260,1233.5,4,28,35335
1/27/25,1231,1252.5,1225,1233.5,9,124,152941
1/24/25,1232.25,1280,1232,1232.25,15,253,311850.25
1/23/25,1236,1236,1232,1235,10,611,755098
1/22/25,1290,1297.75,1230,1230.25,9,14047,17280787
1/21/25,1261.75,1298.75,1230,1231.5,26,9651,11902538.75
1/20/25,1270,1275,1252,1261.75,13,332,421309
1/17/25,1270.5,1270.5,1246,1250.5,26,1430,1788520.5
