Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
3/14/25,615,625,610,610.25,139,33274,20467291.5
3/12/25,609.75,620,600,611,326,126068,76899422.75
3/11/25,626,628,597.25,602,418,119857,72713193.5
3/10/25,640,649.75,626,626.5,111,19214,12104068.25
3/7/25,640,640,628,630.75,153,16308,10333148.5
3/6/25,647.75,659,639,640.25,92,12152,7822155.5
3/5/25,639,649.75,639,643.5,134,52687,33908050.5
3/4/25,650,655,631.25,634.5,245,65340,42029071
3/3/25,669,669,645,650.25,178,26244,17087015.25
2/28/25,661.5,669,652,665.5,89,24959,16591114.5
2/27/25,650.5,669.5,650,661.5,185,34778,22871708.25
2/25/25,665.25,673.75,649,650.25,313,91600,59813876.5
2/24/25,685,685,665,668.5,170,22109,14854012.5
2/21/25,678,688.75,675,676.5,135,62010,42112925.75
2/20/25,685,685.5,670.25,675.25,163,62265,42005273
2/19/25,694,700,681,681,132,134635,92314477.25
2/18/25,689.25,695,688,690,165,434148,299580716.5
2/17/25,698,699,688,694,148,320999,221755350.3
2/14/25,684,698.75,680,690.75,160,214902,148396827.8
2/13/25,665,682,662,676.5,207,31044,20798574.5
2/11/25,667.5,678.5,651,660,301,72020,47538818.25
2/10/25,685,694,667.5,672.5,337,107064,72124790
2/7/25,690,700,681,687.5,142,27615,19007380.5
2/6/25,682,695,677.5,689,444,244928,167922008.8
2/5/25,713,714.5,683.25,687.5,530,133562,92558178.5
2/3/25,720,731,708,713,363,93059,66593629.25
1/31/25,730,734,720.5,730,197,66036,48131096
1/30/25,740,745,726.25,733,158,35403,26024039
1/29/25,741,749,733.75,739,294,103091,76674017
1/28/25,720.5,740,714,735.5,501,258790,189243342.5
1/27/25,725,730,715,723.5,225,67566,48627132
1/24/25,726,732,710,729.25,467,488630,355176259.3
1/23/25,715,730,710,728.25,673,221728,160227906.5
1/22/25,680,715,676,712.75,917,765364,536105711.3
1/21/25,680,685,675.5,680.75,279,86601,58903083
