Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
3/14/25,6.7,6.9,6.6,6.6,45,2071259,13749340.4
3/12/25,6.7,6.8,6.6,6.7,25,223736,1479996.9
3/11/25,6.7,6.9,6.6,6.7,30,145770,972683.1
3/10/25,6.9,6.9,6.7,6.8,67,1372692,9367899.8
3/7/25,6.7,6.9,6.7,6.9,35,138305,940694.2
3/6/25,7,7,6.6,6.6,60,2367589,15683600.4
3/5/25,6.7,6.9,6.6,6.9,40,509138,3470657.9
3/4/25,6.7,6.8,6.4,6.6,67,329558,2173485.2
3/3/25,6.8,6.9,6.6,6.6,34,193598,1287122.1
2/28/25,7,7,6.8,6.8,18,31160,213367.5
2/27/25,6.6,7,6.6,6.9,126,6035222,41311428.8
2/25/25,6.7,6.9,6.6,6.6,50,622918,4168073.1
2/24/25,6.8,7,6.7,6.7,49,2201928,14760844.6
2/21/25,6.9,7,6.8,7,27,278753,1935507
2/20/25,7,7,6.8,6.8,34,1785004,12144994.7
2/19/25,7,7.1,6.8,7,32,386252,2629860.6
2/18/25,7.1,7.3,6.8,7,71,2250453,15733797.7
2/17/25,7.2,7.3,7.1,7.2,92,2884258,20738676.6
2/14/25,7,7.2,7,7.2,78,534955,3793502.1
2/13/25,7,7.1,6.9,7,95,1450227,10073365.1
2/11/25,7,7,6.7,6.9,94,827427,5672911
2/10/25,7,7,6.5,6.9,86,1264888,8681207.9
2/7/25,7,7,6.9,6.9,37,654581,4521963.8
2/6/25,6.7,7.1,6.7,6.9,124,1773525,12317356.8
2/5/25,6.9,7,6.6,6.7,124,1124201,7599717.6
2/3/25,6.8,7,6.7,6.8,61,792709,5413149
1/31/25,7,7,6.7,6.8,57,757068,5157213.8
1/30/25,7,7,6.7,6.9,60,384114,2622437.7
1/29/25,6.9,7,6.7,6.9,84,1373290,9345465
1/28/25,6.9,7,6.8,6.9,92,639272,4403607.3
1/27/25,6.8,7,6.8,6.8,105,539796,3695215.8
1/24/25,6.9,7.1,6.8,6.8,112,2387250,16663082.9
1/23/25,6.9,7.2,6.9,6.9,155,2347877,16449771.4
1/22/25,7.2,7.2,6.9,7,114,1008147,7073292
1/21/25,7.1,7.3,7,7.1,134,1349826,9659971.2
1/20/25,7,7.3,7,7.1,126,952174,6812063
1/17/25,7,7,6.9,6.9,110,1622153,11279303.9
1/16/25,6.9,7,6.8,6.9,100,4376035,30266305.6
1/15/25,7,7,6.7,6.8,45,214030,1453281.7
1/10/25,6.7,6.9,6.5,6.7,90,1355499,8895866.3
1/9/25,7,7,6.7,6.7,51,276404,1858867.1
1/8/25,6.9,7,6.8,6.8,98,878347,6009583.3
1/7/25,6.9,7,6.7,6.8,164,1539022,10469631.3
1/6/25,6.9,7.3,6.8,6.9,170,2412345,16622783.8
1/3/25,7.4,7.5,6.9,6.9,362,4536911,31965116.5
1/2/25,7,7.4,6.9,7.3,337,4065039,29147995.3
12/31/24,7,7.1,6.8,6.9,166,2468628,17063525.6
12/30/24,7.2,7.3,7,7,136,1154196,8117304.7
12/27/24,7.2,7.4,6.8,7.1,471,12595430,87685950.8
12/26/24,7.5,7.6,7,7.1,502,4317512,31861820.9
12/24/24,6.5,7.5,6.5,7.4,624,12200701,86334793
12/23/24,6.5,6.7,6.4,6.5,141,4964921,31259761.9
12/20/24,6.6,6.6,6.3,6.5,62,345524,2233845.1
12/19/24,6.4,6.6,6.4,6.5,104,4846822,31179507
12/18/24,6.3,6.5,6.2,6.3,84,846178,5366781.3
12/17/24,6.3,6.5,6.3,6.4,41,271596,1725264
12/16/24,6.5,6.6,6.1,6.4,104,1706515,11046115.6
12/13/24,6.5,6.6,6.1,6.3,74,628107,4020058.7
12/12/24,6.4,6.6,6.2,6.3,77,707387,4559506.5
12/11/24,6.2,6.6,6.1,6.4,191,3310650,21098524
12/10/24,6.3,6.4,6.1,6.2,111,1306392,8169520.5
12/9/24,6,6.3,5.9,6.2,153,3239905,20105043.7
12/6/24,6,6.1,5.9,6,96,1765404,10560424.1
12/5/24,6.1,6.2,5.9,6,64,352250,2106522.1
12/4/24,6.2,6.2,6,6.1,88,1247782,7557665.6
12/3/24,6.2,6.3,6.1,6.1,98,1188056,7333352.2
12/2/24,6.3,6.3,6,6.2,155,3495436,21746132.3
11/29/24,6.1,6.2,5.9,6.1,176,2900620,17677357.5
11/28/24,5.8,6.1,5.8,6,382,12590426,75076259.3
11/27/24,5.7,5.8,5.5,5.8,218,4563308,26228630.7
11/26/24,5.3,5.7,5.3,5.6,142,3158041,17525677.9
11/25/24,5.5,5.6,5.4,5.4,83,2010598,10965496.6
11/22/24,5.3,5.6,5.3,5.5,174,6102886,33340527.2
11/21/24,5.3,5.4,5.1,5.3,224,8986910,47228177.8
11/20/24,5.5,5.6,5.3,5.4,253,8919590,48496810.9
11/19/24,5.2,5.4,5,5.4,404,13696852,71105833.2
11/18/24,4.8,5.2,4.8,5.1,231,5982726,29545893
11/14/24,4.8,4.9,4.6,4.8,108,2600789,12405453.1
11/13/24,4.4,4.8,4.4,4.7,175,3022230,13912634.6
11/12/24,4.5,4.6,4.4,4.5,75,2401843,10807894
11/11/24,4.5,4.5,4.3,4.4,24,701491,3086470
11/8/24,4.3,4.4,4.3,4.4,48,399919,1752492.6
11/7/24,4.3,4.4,4.3,4.3,15,120551,518924.3
11/6/24,4.4,4.4,4.3,4.4,19,228244,1002173.6
11/5/24,4.4,4.5,4.4,4.4,33,347576,1531835.7
11/4/24,4.4,4.5,4.3,4.4,61,290359,1276335.9
11/1/24,4.3,4.5,4.3,4.4,53,1704231,7361487.2
10/30/24,4.3,4.4,4.2,4.3,67,2303987,9907317.2
10/29/24,4.3,4.4,4.3,4.3,79,761779,3313825.5
10/28/24,4.3,4.4,4.2,4.3,49,1932225,8178846
10/25/24,4.4,4.4,4.3,4.3,32,378207,1634160.1
10/24/24,4.4,4.4,4.2,4.3,117,5597999,24252805.5
10/23/24,4.4,4.5,4.3,4.4,37,751387,3304892
10/22/24,4.4,4.5,4.4,4.4,23,491251,2161704.4
10/21/24,4.4,4.6,4.4,4.4,26,504935,2223079.3
10/18/24,4.6,4.7,4.5,4.5,48,344416,1559777.1
10/16/24,4.6,4.7,4.5,4.6,86,871761,3980633.7
10/15/24,4.5,4.7,4.4,4.4,162,3144761,14322975.5
10/14/24,4.4,4.5,4.4,4.4,27,306972,1351422.9
10/11/24,4.2,4.5,4.2,4.5,58,618238,2735318.6
10/10/24,4.3,4.4,4.3,4.3,44,135986,584993.3
10/9/24,4.3,4.4,4.3,4.3,29,442609,1904819.7
10/8/24,4.4,4.5,4.4,4.4,11,43271,190612.4
10/7/24,4.4,4.5,4.3,4.4,60,1815342,7987154.8
10/4/24,4.4,4.4,4.3,4.3,45,639528,2786858.4
10/3/24,4.5,4.5,4.3,4.3,44,1145588,4939887.2
10/2/24,4.3,4.5,4.3,4.4,56,675427,2969228.1
10/1/24,4.4,4.6,4.3,4.5,115,2597373,11668345.1
9/30/24,4.5,4.7,4.4,4.4,223,7122049,32375376.8
9/27/24,4.1,4.5,4,4.5,357,11046474,48250728.3
9/26/24,4.2,4.2,3.9,4,120,1777283,7144005.6
9/25/24,4.1,4.2,4,4.1,241,4751422,19376743.2
9/24/24,3.8,4.1,3.7,4,313,5706826,22606005.8
9/23/24,3.7,3.8,3.5,3.7,59,478214,1759409.7
9/20/24,3.6,3.7,3.6,3.7,39,283745,1044946.8
9/19/24,3.6,3.7,3.6,3.6,54,543335,1956721.6
9/18/24,3.5,3.6,3.5,3.6,42,95303,338945.7
9/13/24,3.4,3.5,3.4,3.5,26,53143,184310.5
9/12/24,3.5,3.5,3.5,3.5,9,4895,17132.5
9/11/24,3.5,3.5,3.4,3.5,21,48135,167865.5
9/10/24,3.6,3.6,3.4,3.5,23,20679,72191.9
9/9/24,3.5,3.7,3.5,3.6,25,48680,173975.4
9/6/24,3.6,3.6,3.5,3.5,23,59709,209512.8
9/5/24,3.7,3.7,3.4,3.4,77,530432,1851896.3
9/4/24,3.6,3.6,3.5,3.6,44,251968,903213.6
9/3/24,3.6,3.6,3.2,3.4,115,1334539,4491091.2
9/2/24,3.6,3.7,3.3,3.4,106,963629,3324755
8/30/24,3.8,3.8,3.6,3.6,39,185115,678657
8/29/24,3.7,3.8,3.6,3.8,31,78049,289807.1
8/28/24,3.9,3.9,3.7,3.8,56,328299,1237333.2
8/27/24,3.9,3.9,3.8,3.8,14,37124,143033.6
8/26/24,4,4,3.8,3.9,23,50262,196082.6
8/23/24,4,4,3.9,3.9,28,436190,1732980
8/22/24,4.1,4.1,4,4,23,256845,1050019.5
8/21/24,4.1,4.1,4.1,4.1,32,1002150,4108815
8/20/24,4.1,4.1,4,4,18,46157,186743.7
8/16/24,4.1,4.1,3.9,4,53,396302,1585938.2
8/15/24,4,4.1,4,4.1,25,190387,777478.1
8/14/24,3.9,4.1,3.9,4.1,43,1145286,4579796.4
8/13/24,3.9,4,3.8,3.9,25,48262,188334.5
8/12/24,3.9,3.9,3.8,3.9,74,1108678,4323643
8/9/24,3.9,3.9,3.7,3.7,80,793782,2981859.3
8/8/24,3.8,4,3.6,3.8,69,969518,3692720.2
8/7/24,3.8,3.9,3.7,3.8,29,57625,218872.1
8/6/24,4,4,3.8,3.8,18,155940,605194.8
8/5/24,4,4.1,3.9,3.9,31,589268,2339726.6
8/2/24,4,4,3.9,4,18,39628,158212
8/1/24,3.9,4,3.9,4,32,316175,1254998
7/31/24,4,4.1,3.9,3.9,35,377106,1501644.5
7/30/24,4.1,4.2,4,4,25,187505,763355.5
7/29/24,4.1,4.2,4.1,4.1,11,50602,207488.4
7/26/24,4.2,4.2,4.1,4.1,5,6800,27890
7/25/24,4.1,4.1,4,4.1,23,60595,247824.5
7/24/24,4.1,4.1,4,4.1,30,225442,924256.4
7/23/24,4,4.2,4,4.1,71,385333,1579683.4
7/22/24,4.2,4.2,4,4,37,698062,2857055.9
7/19/24,4.2,4.2,4.1,4.2,31,298638,1251284.6
7/18/24,4.1,4.2,4.1,4.2,8,86300,354450
7/17/24,4.1,4.2,4.1,4.2,7,9852,41243.4
7/16/24,4.2,4.3,4.1,4.2,37,552263,2329845.2
7/15/24,4.2,4.3,4.1,4.2,49,454235,1907786.6
7/12/24,4.1,4.3,4.1,4.2,9,122501,514704.1
7/11/24,4.3,4.3,4.1,4.2,14,58197,245627.3
7/10/24,4.2,4.3,4,4.2,16,81000,340200
7/9/24,4.2,4.3,4,4.2,51,398050,1645140
7/8/24,4.3,4.3,4.1,4.2,17,92656,390590.8
7/5/24,4.3,4.3,4.1,4.3,13,67644,284351.2
7/4/24,4.2,4.3,4.1,4.2,46,419598,1761286.6
7/3/24,4.3,4.4,4.2,4.2,32,808012,3474681.6
7/2/24,4.3,4.3,4.2,4.3,31,138467,595397.7
7/1/24,4.3,4.3,4.1,4.2,39,1290417,5314430
6/28/24,4.4,4.4,4.1,4.3,42,490006,2120432.6
6/27/24,4.4,4.5,4.3,4.4,29,1109164,4872151.3
6/26/24,4.5,4.5,4.3,4.4,134,11504549,50620335.4
6/25/24,4.5,4.5,4.4,4.5,10,35103,157103.3
6/24/24,4.6,4.6,4.5,4.5,35,216219,975689.5
6/20/24,4.6,4.6,4.5,4.5,23,263701,1186659.5
6/19/24,4.5,4.6,4.4,4.5,38,388031,1745228.5
6/18/24,4.5,4.5,4.4,4.5,73,1094851,4850979.3
6/14/24,4.5,4.5,4.4,4.4,14,360737,1593311.5
6/13/24,4.4,4.5,4.4,4.5,20,66961,295474.4
6/12/24,4.4,4.6,4.4,4.5,131,7155712,31615979.1
6/11/24,4.4,4.5,4.4,4.4,19,352679,1552447.6
6/11/24,4.4,4.5,4.4,4.4,19,352679,1552447.6
6/10/24,4.4,4.5,4.4,4.4,35,1771588,7806755.2
6/7/24,4.5,4.5,4.3,4.4,5,13,57.6
6/6/24,4.5,4.5,4.4,4.4,38,786147,3461693
6/5/24,4.5,4.5,4.4,4.4,19,48701,215227.3
6/4/24,4.4,4.5,4.3,4.4,32,325615,1432554.1
6/3/24,4.4,4.4,4.3,4.4,15,244632,1052087.1
5/31/24,4.4,4.4,4.3,4.3,22,265202,1153713
5/30/24,4.5,4.5,4.3,4.3,55,1329901,5756378.4
5/29/24,4.4,4.5,4.3,4.4,73,873349,3799932.8
5/28/24,4.5,4.5,4.4,4.5,25,200947,886112.4
5/27/24,4.5,4.6,4.4,4.5,22,47350,212265
5/22/24,4.6,4.6,4.5,4.6,40,888633,4022661.8
5/21/24,4.6,4.6,4.4,4.5,75,1825535,8203617.5
5/20/24,4.6,4.7,4.5,4.6,72,1602777,7371672.6
5/17/24,4.4,4.7,4.4,4.6,181,3280015,15009998.7
