Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
3/14/25,15.3,15.6,15,15.1,229,1458293,22276749.4
3/12/25,15,15.3,14.7,15.1,87,477941,7147132.9
3/11/25,14.7,14.9,14.7,14.8,129,6386225,94538193.8
3/10/25,15.1,15.3,14.7,14.8,207,1677401,24837492
3/7/25,15.1,15.3,15,15,186,7721722,115831931.5
3/6/25,15.4,15.4,14.9,15.1,143,1109079,16778920.8
3/5/25,14.8,15.4,14.8,15.3,207,1670849,25290196.7
3/4/25,15.1,15.2,14.7,14.9,165,2015660,30083247.6
3/3/25,15.7,15.7,14.9,15,213,1445802,21753562.4
2/28/25,15.8,15.8,15.4,15.5,127,558615,8706421.2
2/27/25,15.4,15.7,15.2,15.6,195,1024045,15825612.4
2/25/25,15.1,15.5,14.9,15.3,220,1557164,23518524.9
2/24/25,15.5,15.5,15,15.1,159,848861,12871225.4
2/21/25,15.6,16.3,15.5,15.5,293,3308906,52041301.6
2/20/25,16.2,16.2,15.5,15.6,297,2744274,43066316.3
2/19/25,16.5,16.5,16,16.1,268,3390839,54523990.8
2/18/25,16.7,17,16.4,16.5,278,2967263,49203680.5
2/17/25,17.2,17.5,16.7,16.9,496,4422146,75868598.9
2/14/25,15.5,17,15.5,16.9,1252,19413136,319631541.8
2/13/25,14,15.4,14,15,532,5077020,74665201
2/11/25,14.3,14.4,13.7,14,207,2458981,34319310.4
2/10/25,14.9,14.9,14,14.4,437,3616172,51570154
2/7/25,14.9,15,14.5,14.6,269,2091869,30491039.1
2/6/25,14.8,15.3,14.5,14.8,328,2896519,42669158.7
2/5/25,15.3,15.5,14.7,14.9,380,2385953,35778456.5
2/3/25,15.8,16,15.2,15.4,321,2072541,32112031.8
1/31/25,16,16.2,15.6,15.7,305,1624107,25628580.6
1/30/25,16.3,16.3,15.7,16.1,250,4005034,64632424.2
1/29/25,16.5,16.7,16,16.2,416,5193273,84886989.6
1/28/25,16.9,16.9,16.3,16.4,424,6749959,111619541.4
1/27/25,16.6,16.9,16.3,16.6,252,3480527,57786915
1/24/25,16,17,16,16.6,728,10509566,173447705.5
1/23/25,15.8,16,15.6,15.8,526,7929413,125463985.9
1/22/25,15.9,15.9,15.6,15.7,295,2415844,37972678.5
1/21/25,15.6,16.3,15.6,15.8,365,3351558,53539398.5
1/20/25,16,16,15.6,15.7,243,2088248,33065342.2
1/17/25,15.2,16.1,15.1,15.9,910,10791149,170339911.1
1/16/25,14.8,15.3,14.7,15.2,409,5630671,84833714.9
1/15/25,14.9,14.9,14.3,14.7,343,2403483,34954692.8
1/10/25,15,15.1,14.6,14.8,356,2685891,39849601.2
1/9/25,15,15.4,14.9,15,908,10603058,160032235.2
1/8/25,14,14.8,14,14.7,1051,13655504,199150785.6
1/7/25,14,14,13.5,13.8,300,1954875,26811622.8
1/6/25,13.8,14,13.3,13.9,621,4955426,67920693.5
1/3/25,13.5,14.2,13.2,13.5,1135,17510371,240098002.1
1/2/25,12.6,13.5,12.6,13.4,518,5226968,69118110
12/31/24,13.1,13.2,12.6,12.7,310,1550615,19824516.1
12/30/24,13.1,13.5,13,13,359,3416440,44939612.4
12/27/24,13.1,13.2,12.8,13,217,871215,11333010.9
12/26/24,12.8,13.3,12.6,13.1,391,2592698,33369237.9
12/24/24,12.8,12.9,12.4,12.7,300,1809354,22958530.1
12/23/24,12.6,13.1,12.2,12.5,611,7903909,98393157.1
12/20/24,12.9,13.3,12.3,12.5,724,7889232,99809250.3
12/19/24,13.3,13.8,12.9,13,793,7719476,101994850.4
12/18/24,12,13.4,11.7,13.1,888,13932273,175291768.4
12/17/24,12.5,12.5,11.9,12,531,5014121,60299274.7
12/16/24,12.4,12.9,12.3,12.4,502,4154339,52062039.3
12/13/24,11.5,12.9,11.3,12.5,924,13402754,162951566.8
12/12/24,11.3,11.6,11,11.5,290,4123905,46988598.5
12/11/24,10.5,11.6,10.5,11.3,821,11689208,132013998.3
12/10/24,10.6,10.8,10.5,10.5,185,1534165,16327016.8
12/9/24,10.8,10.8,10.5,10.5,174,1114293,11778902.1
12/6/24,10.6,10.8,10.5,10.7,219,1706232,18230644
12/5/24,10.7,10.8,10.5,10.5,210,1609585,17034102.8
12/4/24,11,11,10.6,10.6,220,1281240,13733762.2
12/3/24,10.9,11.1,10.7,10.8,501,4919298,53728544.9
12/2/24,10,10.8,9.9,10.7,610,6591708,69201261.6
11/29/24,10.1,10.2,9.9,9.9,86,718483,7153700.7
11/28/24,9.8,10.2,9.8,10,172,2144186,21410462.6
11/27/24,9.9,10,9.7,9.8,160,999429,9814282.1
11/26/24,9.8,10,9.8,9.9,91,649836,6453738.9
11/25/24,10.1,10.1,9.7,9.8,311,2790549,27417563.4
11/22/24,10,10.5,10,10,577,5578896,56981540.7
11/21/24,10.3,10.4,9.8,10,461,3865445,38787166.2
11/20/24,9.2,10.4,9.2,10.2,937,14081187,139779033.2
11/19/24,9.5,9.5,9.2,9.3,260,3675296,34257927
11/18/24,9.2,9.7,9.2,9.4,641,12485717,117632568.9
11/14/24,8.9,9.1,8.8,9,171,2732749,24556187.8
11/13/24,8.5,9,8.5,8.9,560,11219115,98473318
11/12/24,8.4,8.5,8.1,8.4,175,3017254,25324258.2
11/11/24,7.9,8.5,7.9,8.3,223,3435734,28215568.2
11/8/24,7.9,8,7.8,7.8,42,138853,1086128.1
11/7/24,7.9,8,7.8,7.8,47,200435,1567981.5
11/6/24,7.9,8,7.8,7.9,60,154433,1214500.2
11/5/24,8,8.1,7.9,8,58,242846,1929934
11/4/24,8,8.1,7.8,7.9,55,250529,1983993.2
11/1/24,8,8.1,7.9,8,55,160890,1279243
10/30/24,8,8.1,7.9,7.9,77,325002,2577907.7
10/29/24,7.9,8.1,7.9,7.9,94,852730,6805750.2
10/28/24,8.2,8.3,7.9,7.9,158,1712960,13615881.1
10/25/24,8.2,8.3,8.1,8.1,114,1200188,9824757.8
10/24/24,8.1,8.3,8,8.3,163,877604,7195208.3
10/23/24,8,8.2,7.9,8,114,1190638,9536821.8
10/22/24,7.9,8.1,7.8,8,147,1262330,10045065.3
10/21/24,8.1,8.1,7.9,8,107,775372,6205580.3
10/18/24,7.9,8.2,7.9,8,329,3066182,24609744
10/16/24,7.5,7.9,7.5,7.9,157,1515471,11711526.5
10/15/24,7.7,7.7,7.4,7.4,50,215932,1613484.5
10/14/24,7.7,7.7,7.4,7.5,43,204050,1533003.2
10/11/24,7.4,7.7,7.3,7.6,199,3230980,24099645.9
10/10/24,7.4,7.4,7.2,7.2,40,285808,2062153.2
10/9/24,7.3,7.4,7.2,7.3,39,843155,6156546.9
10/8/24,7.4,7.5,7.1,7.2,62,712886,5211304.3
10/7/24,7.7,7.7,7.3,7.3,76,369732,2744870.1
10/4/24,7.5,7.7,7.4,7.6,15,39251,294459.3
10/3/24,7.7,7.8,7.4,7.7,33,182664,1391702.5
10/2/24,7.7,7.8,7.4,7.5,65,872862,6638803.6
10/1/24,7.7,7.8,7.6,7.7,71,379083,2921098.7
