Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
3/14/25,120,122,120,120.75,402,424489,51375293.25
3/12/25,118.75,121.25,117.75,120,608,1823854,217080116.5
3/11/25,120,120,118,118.5,816,850173,100842832
3/10/25,121.75,121.75,119.75,120,508,461635,55556358.25
3/7/25,,122,,120.5,505,876264,105633618.8
3/6/25,122,122.75,121,121.75,424,690391,84274456.5
3/5/25,118.75,122.25,118.75,122,570,1310014,158545676.3
3/4/25,120.25,120.5,117.25,118.5,1109,989668,117738076
3/3/25,123,123.75,120.25,120.75,608,525673,64013245.75
2/28/25,121,123,120.75,122.5,597,2476457,302835642.3
2/27/25,120.5,122,120.5,121,602,581666,70315283
2/25/25,122,122,120,120.5,907,1242084,150050758
2/24/25,122.5,122.75,121,121.75,740,2059003,250994369.8
2/21/25,122,124,121.5,122.25,772,5897055,720830953.8
2/20/25,123.25,123.25,120,121.5,1267,2260550,275483208.3
2/19/25,125,126,122.5,123,1231,1220179,150916873
2/18/25,126.5,128,123.75,124.5,2414,4639814,581161382.5
2/17/25,122,124.5,121.5,123.5,848,1426762,175767030.8
2/14/25,,121.75,,121.25,771,1136424,136388829.8
2/13/25,117,120,117,119.5,615,799150,95146284.75
2/11/25,119,119.75,116.5,117,703,920676,108089393.3
2/10/25,118.5,119.75,117.75,119,464,506769,60159836.25
2/7/25,117,118.5,116.25,117.5,551,569636,66902862.25
2/6/25,115,118,,116.5,913,1068206,124219032
2/5/25,118.5,119,114.75,115,1471,1164635,135305038.8
2/3/25,119.5,121,118.25,118.75,724,620472,73945433.5
1/31/25,120.75,121.5,119,119.5,523,1016885,122167426
1/30/25,119.75,120.5,118.75,120,587,1279402,152615285.3
1/29/25,122,122,118.5,119.25,1354,2563188,307574122.8
1/28/25,122,122.5,121,121.25,838,990361,120261351.3
1/27/25,122,123,121.5,122,694,895710,109462379
1/24/25,124,124,121,122.25,1022,1400338,171197551.3
1/23/25,124.5,125,121.25,123.5,898,1321176,163497209.8
1/22/25,123.25,125,123.25,124.5,1274,3230428,401251462
1/21/25,119,122,118.25,122,1167,2948823,354047429.8
1/20/25,118.75,119.25,117.75,118.5,481,574410,67876994
1/17/25,118.25,119.25,117.5,118,568,1079126,127709127
1/16/25,118.5,119,117.5,118,622,1170041,138737236.3
1/15/25,114,118.25,114,117.75,830,1485317,173002566.3
1/10/25,112.5,115.5,112,114.25,658,1666175,189406105.3
1/9/25,115.75,116,113,113.5,621,1090323,124514480.3
1/8/25,114,116.5,113.5,115.5,591,1655021,190442627.3
1/7/25,113.75,115,110,114,1134,1621887,183192527.5
1/6/25,119,119.75,110.25,114,2241,2892636,329890804.5
1/3/25,122,123.5,114.5,117.25,1674,2920914,350374459.8
1/2/25,119.25,123.25,119,121.75,1289,2295970,278037239
12/31/24,117.5,119,116,118.25,960,2276245,269129766.3
12/30/24,114,118.75,114,117.5,1307,2660830,310023037.5
12/27/24,112.75,113.25,111,113,798,2299442,258902767.8
12/26/24,111.25,113.25,109.5,112.75,775,2461648,274284479.3
12/24/24,110,111.75,109,111,686,2354486,260762818.3
12/23/24,108,111,,109.5,901,3796063,414909290.3
12/20/24,107,108,106.5,107.5,551,1659201,178393926.5
12/19/24,108,108,106.5,107,618,1212333,129960170.8
12/18/24,107.5,108.25,106.5,107.75,679,1272837,136858850.5
12/17/24,109,109.5,106.25,107.75,1076,1857814,200396091.5
12/16/24,107,110,106.75,108.75,1146,4056117,442205613.5
12/13/24,104.75,106.5,104.5,106.25,803,1978181,209556199.3
12/12/24,103,105.5,103,105,747,2538153,265826267.5
12/11/24,100.75,103.5,100.5,102.75,630,2022609,206431240.8
12/10/24,100.75,101,100,100.75,415,1319171,132381574.3
12/9/24,101,101.25,100.25,100.75,463,952745,96088168.5
12/6/24,101,101.75,100.5,101,440,678452,68545029.75
12/5/24,100,102.75,99.8,101,1179,3129046,315362033.9
12/4/24,97.5,100,97.4,99.8,890,3434198,340153011.5
12/3/24,97.5,98,96.7,97.6,540,609423,59283856.3
12/2/24,98,98,96.6,97.5,398,600306,58573595.1
11/29/24,98.6,98.8,97.6,98.2,508,1479626,145156685.8
11/28/24,97,99.8,97,97.8,1137,19809743,1975734488
11/27/24,93,95.8,93,95.3,684,3461738,327054019.1
11/26/24,91.5,93.9,91.5,93,399,1414376,131588020.1
11/25/24,94.3,94.4,91.5,92,776,2570985,236132223.5
11/22/24,94,95.1,94,94.1,475,1058613,100190550.4
11/21/24,94.5,96,92.8,93.7,843,3879612,366665895.4
11/20/24,95,95.1,94.6,94.7,514,1323078,125612382.9
11/19/24,96.9,97.9,94.6,95,759,2376571,226278292
11/18/24,98.5,99.9,96.5,96.8,1346,6510224,639374843.3
11/14/24,94,97.3,94,96.1,1092,4674406,448010997.8
11/13/24,90,93.4,90,92.5,1349,4211439,384754314
11/12/24,89.3,89.9,89,89.5,520,1567139,140267942.4
11/11/24,89,89.6,88.5,89.1,392,679798,60531738.4
11/8/24,88.5,89.7,88.4,89,348,881554,78517521.7
11/7/24,89.4,89.4,88.2,88.5,384,869965,77147888.2
11/6/24,89.9,90,88.3,89.5,527,651222,58004032.6
11/5/24,89.5,90,89,89.9,686,2641770,237432804.9
11/4/24,87.9,90,87.9,89.4,723,3944675,349667262.2
11/1/24,87.7,88.1,86,87.9,570,1112866,97594784.8
10/30/24,88.4,89.4,87,87.5,954,2781606,246839443.2
10/29/24,86,88.4,86,88.1,899,3569685,311477469.6
10/28/24,85,86.3,85,86,506,3880292,333157093.4
10/25/24,85.5,86.2,84.8,85,825,12133525,1032708529
10/24/24,84.5,85.8,84.5,85.5,923,10173142,865587677.5
10/23/24,83.2,84.3,83.2,84,857,4836616,405976094.5
10/22/24,82.9,83.1,82,82.9,386,1475597,121857005.8
10/21/24,82,82.9,81.5,82.5,391,577451,47528781.3
10/18/24,82.1,82.3,81.3,81.5,300,353536,28835895.1
10/16/24,81.5,82.4,81.5,82.1,279,329184,27002526.6
10/15/24,82.5,82.5,81,82.2,408,665491,54235938.1
10/14/24,82.8,82.9,82,82.1,398,355423,29234999.1
10/11/24,81.9,82.9,81.9,82.8,463,809924,66901350.2
10/10/24,81.4,82,80.6,81.7,380,806629,65209573.1
10/9/24,82.6,82.6,80.5,81.4,507,1300010,106142809
10/8/24,83,83.2,81.8,82.2,582,729119,60134225
10/7/24,81.5,83.7,81.5,83,1263,4250966,352084352.7
10/4/24,,81.9,,81.3,888,14987128,1199598486
10/3/24,79.8,79.9,78.8,79,359,1649929,130424250
10/2/24,79,80.5,78.4,79.8,854,5165210,412098668.1
10/1/24,77.5,79.4,77.1,78.5,827,7546431,589294260.3
9/30/24,78,78,77.2,77.7,377,841569,65486295.2
9/27/24,78,78,75.9,77,466,1307193,100165678.5
9/26/24,77.7,80,77,78,803,3256544,256137745.4
