Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
3/14/25,20.9,21,20.4,20.5,382,1058341,21904300
3/12/25,21,21,20.4,20.7,326,1031097,21203356.5
3/11/25,21.3,21.3,20.6,20.9,278,405370,8468636.7
3/10/25,21.9,21.9,21.1,21.4,169,219215,4679463.4
3/7/25,21.6,21.6,21.1,21.3,172,694282,14803162.8
3/6/25,22,22,21.5,21.6,176,585204,12650926
3/5/25,20.8,21.9,20.8,21.5,271,907551,19277165.9
3/4/25,21.5,21.5,20,20.9,260,1068038,22316952.1
3/3/25,22.3,22.3,21,21.1,380,449889,9638771.4
2/28/25,21.9,22.3,21.9,22,212,935060,20594043.3
2/27/25,22,22.3,21.7,21.8,292,1533900,33476485.3
2/25/25,22.5,22.5,21.9,22,431,720264,15863614.5
2/24/25,22.6,22.8,22.1,22.4,211,314368,7033716.4
2/21/25,22.9,22.9,22.4,22.5,254,699508,15839054.4
2/20/25,22.5,22.9,22.2,22.4,348,2781076,62457718
2/19/25,24,24,22.3,22.5,1477,3782615,86488299
2/10/25,90,90,89.6,89.8,135,96262,8655474.2
2/7/25,91,91.5,89.7,89.9,201,244773,22013446
2/6/25,89.2,91.9,89,90,384,1480580,133071573.8
2/5/25,92.5,93.4,89,90.3,306,116728,10657433.6
2/3/25,93,94,92,92.5,209,38320,3558745.2
1/31/25,94,94,93,93.3,182,144043,13445058.2
1/30/25,93.5,93.6,93.3,93.5,262,1588514,148436820.6
1/29/25,94.8,94.9,93.3,93.5,287,1029883,96478229.6
1/28/25,93.5,95,93.5,94,168,511627,47966984.4
1/27/25,95.5,96,93,93.6,357,186862,17578285.4
1/24/25,96.5,97,94.7,94.9,191,875166,83138036.7
1/23/25,96,96.5,94.6,95.5,389,3864077,367219945.2
1/22/25,95,96,94.7,95,144,428921,40810543.4
1/21/25,96,96,94.6,94.9,221,99059,9409024.3
1/20/25,95,97,94.8,95.4,112,182387,17423573.9
1/17/25,95.9,95.9,94.5,95,210,340082,32268487.3
1/16/25,96,96,95.3,95.9,89,163170,15651695.5
1/15/25,96,96.8,95,95.1,122,133450,12699271.5
1/10/25,96,96.3,93.9,95.8,136,422653,40272488.2
1/9/25,95.8,97,94,95.4,152,233041,22207613
1/8/25,95,97,94.8,95.6,172,187471,17973107.7
1/7/25,95,96,94.2,94.8,280,510919,48506721.7
1/6/25,97.5,98.9,92.5,95.5,491,630041,60689315.1
1/3/25,100,100.5,95,97.5,413,733729,72917868.1
1/2/25,100.5,100.75,99,99.9,378,947731,94851893.75
12/31/24,100,103,99.7,100,327,202801,20345250.1
12/30/24,95,102,95,100,1155,2496480,248564244
12/27/24,95.5,95.5,94,94.5,449,813081,77110407.4
12/26/24,94,99.9,91.7,94.5,1654,3150653,295436307.3
12/24/24,84.7,85.2,84,85,150,594615,50477128.1
12/23/24,85,86,84.7,84.7,101,76052,6471203.7
12/20/24,85.7,86,83.4,85,172,762440,64801063.4
12/19/24,86,86,85,86,96,1110415,95448499.2
12/18/24,84.5,86,83,85.9,116,265717,22617669.2
12/17/24,86.5,87.4,84,84.5,189,793766,67850858.2
12/16/24,88,89.8,86.9,87,165,2013509,179476966.9
12/13/24,85.1,87.9,85,87.1,244,1342637,115921120.5
12/12/24,84.5,85.9,84.5,85.1,212,1248275,106128497.5
12/11/24,83,84.5,83,84,175,530269,44420831.1
12/10/24,82,83.5,82,83,215,1051786,86991640.2
12/9/24,80,82,80,81.5,129,706693,57369731.3
12/6/24,75.4,80.9,75.4,79.9,241,1073784,84362678.6
12/5/24,75.5,75.6,74.5,75.3,99,486096,36537546.4
12/4/24,73.3,75.5,73.3,74.6,109,121551,9046258
12/3/24,72.6,74,72.5,73.8,62,81224,5929767.3
12/2/24,72.1,73.5,72,72.5,68,80296,5821558.2
11/29/24,72,74,72,73.8,71,394374,28865044.5
11/28/24,72,72.8,72,72,50,58520,4216583
11/27/24,72,72.3,72,72,28,64227,4624534.8
11/26/24,71,72,71,71.6,52,22381,1602400.9
11/25/24,72.8,72.8,70.5,71.4,91,292972,20794153.2
11/22/24,73,73,72.5,72.5,71,112624,8180835.2
11/21/24,73.9,74.3,73.5,73.5,111,538407,39723501.8
11/20/24,74,74.2,73.5,74,55,105114,7763116.7
11/19/24,74.9,75.2,73.1,74.8,88,273938,20503191.9
11/18/24,73,75.5,73,75,232,502785,37660090.8
11/14/24,71.6,72.9,71.6,72.7,91,162977,11772731.4
11/13/24,70.2,71.9,70.1,71.5,171,495193,35089117.9
11/12/24,55,71.5,55,71.2,174,783839,55493998.2
11/11/24,70,70.4,69.1,70.2,155,961218,67306664.9
11/8/24,68.5,70.2,68.5,69.2,135,198460,13836471.8
11/7/24,68,68.8,68,68.8,52,48378,3319770
11/6/24,68,68.2,68,68.1,66,185446,12628183.9
11/5/24,68.1,68.3,67.7,68,73,111957,7610696.1
11/4/24,68,68.3,67.5,68.1,76,263243,17862952.8
11/1/24,67.2,68.1,67.1,68,97,170096,11497643.6
10/30/24,66.8,67.2,66.5,67.1,75,103674,6946676
10/29/24,66.7,67.2,66.2,66.9,61,1150371,77082092.8
10/28/24,66.9,67,66.5,66.9,83,255953,17127896.2
10/25/24,66.5,67.1,66.5,66.8,71,175222,11734720.4
