Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
3/14/25,26.9,26.9,26.2,26.3,133,385912,10330704
3/12/25,26,26.9,25.8,26.8,81,586169,15298423.3
3/11/25,27.4,27.4,25.6,25.9,176,735957,19198787.4
3/10/25,28.3,28.3,27.2,27.4,71,182202,5004641.5
3/7/25,28.5,28.5,27.7,27.8,36,699079,19571635.3
3/6/25,29,29,27.9,28.1,83,157758,4461440.8
3/5/25,27.7,28.8,27.7,28.5,60,376650,10788905
3/4/25,28.8,29.1,27.6,27.8,131,597539,17004424.3
3/3/25,29.6,29.6,28.2,28.3,88,293754,8409780.3
2/28/25,29.5,30,29.2,29.5,100,782622,23185949.9
2/27/25,28.7,29.8,28.7,29.5,87,652399,19085016.4
2/25/25,29.7,29.8,28.7,29.2,79,276913,8069131
2/24/25,30,30,29,29.3,115,291696,8561821.4
2/21/25,30,30.8,29.8,30,97,1147298,34474196.2
2/20/25,30.2,30.4,29.2,29.9,145,989161,29527963.8
2/19/25,29.6,30.4,29.1,30.2,180,1450350,43287297.3
2/18/25,30,30.1,29.2,29.9,336,1171826,34954571.9
2/17/25,31.8,32,29.9,30,197,703572,21247833.7
2/14/25,30,30.5,29.7,30,214,3636771,109160380.3
2/13/25,29.7,30.5,28.5,30,780,31786804,910814571.5
2/11/25,31.4,31.4,29.5,29.9,332,1546284,46484489.6
2/10/25,31.7,32.5,31.1,31.3,94,1214807,37701018
2/7/25,31.9,32.5,31.6,31.7,189,873803,27878586.3
2/6/25,31.5,32,30,31.3,209,554627,17251219.6
2/5/25,33,33.9,30.5,30.8,280,1631402,51602504.9
2/3/25,34,34,32.5,33.1,247,897986,29926735.2
1/31/25,32,34,31.3,33.7,550,2864206,95153914.2
1/30/25,31.2,32.1,31,31.5,79,202829,6386421.5
1/29/25,32.5,32.5,31,31.3,131,506349,16148369.8
1/28/25,32,32.9,31,32.2,240,993505,32011224.5
1/27/25,31,32.2,30,31.7,235,671699,20801787.1
1/24/25,32,32.8,30,31,719,4781241,151986681.4
1/23/25,27,32.6,27,32.3,1757,18827489,537404431.6
1/22/25,26.8,27.3,26,26.8,188,1015819,27172686.9
1/21/25,24.5,26.8,24.4,26.5,321,1638270,42625560.5
1/20/25,24.1,24.5,24.1,24.3,49,151238,3693954.4
1/17/25,23.7,24.2,23.7,24.1,94,275306,6604829.9
1/16/25,23.7,23.7,23.3,23.5,46,511822,12028995.9
1/15/25,23.6,23.8,23,23.4,65,250153,5826978
1/10/25,23.5,23.7,23.1,23.5,49,89451,2081513.2
1/9/25,24,24,23.5,23.6,23,59033,1392168.8
1/8/25,24,24.5,23.5,24,67,120947,2917323.9
1/7/25,24.6,24.6,22.6,23.9,86,263957,6173879.1
1/6/25,24.8,25.3,22.8,24.1,199,1219511,29553814.9
1/3/25,25.2,26,24,24.4,236,1208289,30229652.1
1/2/25,24.8,26.4,24.4,26,385,3004700,75760111.1
12/31/24,24.7,25,24.4,24.6,166,865701,21341229.8
12/30/24,23.9,24.7,23.3,24.2,254,2516784,59886073.6
12/27/24,23.6,23.9,23,23.6,127,646526,15169667
12/26/24,23.4,23.8,23.3,23.5,113,549937,12943160
12/24/24,22.4,23.6,22.4,23.4,248,4480305,100129945.9
12/23/24,22.4,23,22.2,22.4,124,350149,7928713.7
12/20/24,22.9,23,22.1,22.2,175,1111700,25070885.3
12/19/24,23,23,22.4,22.8,148,360077,8167137.4
12/18/24,23,23.3,22.6,22.7,80,316367,7263826
12/17/24,23.8,23.8,22.6,22.8,112,219807,5039938.8
12/16/24,23.8,24.3,22.8,23.1,226,494919,11677872.7
12/13/24,22.7,23.9,22.6,23.7,374,3912662,90474147.4
12/12/24,22.9,23.2,22.5,22.8,298,3098800,71271870.1
12/11/24,22.6,23.1,22.5,22.7,197,2329263,52898137.3
12/10/24,23,23.5,21.5,22.5,592,2684503,60087143.3
12/9/24,19.4,23.3,19.1,22.9,979,9541246,205336168.6
12/6/24,19.6,19.9,19.2,19.5,178,580522,11342606.4
12/5/24,18.7,20,18.7,19.5,447,3327502,64939559.8
12/4/24,18.4,19.1,18.3,18.9,219,21922614,382366043.9
12/3/24,18.7,18.7,18,18.3,126,451364,8217589.5
12/2/24,19,19.2,18,18.2,275,1141988,21140922.8
11/29/24,17,19.2,17,18.7,704,9067734,165939413.7
11/28/24,16.5,17.5,16.5,17,338,1328281,22629645.9
11/27/24,15.9,16.5,15.8,16.3,155,4104151,62864307.9
11/26/24,15.9,16,15.6,15.7,74,285518,4534572.8
11/25/24,16,16.1,15.5,16,76,710447,11317533.2
11/22/24,16.7,16.7,15.9,16,153,722520,11720404.1
11/21/24,16.4,16.9,16,16.6,352,1362640,22537942.3
11/20/24,14.3,16.5,14.3,16,467,5368873,84178189.6
11/19/24,14.5,14.5,14.2,14.2,45,367902,5250451.9
11/18/24,15.1,15.1,14.2,14.5,143,14484536,212864537.8
11/14/24,13.8,14.8,13.8,14.5,112,990769,14051534.2
11/13/24,13.9,13.9,13.7,13.8,60,266302,3676474.7
11/12/24,14,14,13.7,14,73,205381,2840601.4
11/11/24,14,14.3,13.8,14.1,83,661225,9235687.2
11/8/24,14,14,13.8,13.8,25,20156,278166.8
11/7/24,13.7,14,13.7,14,21,204154,2853909.5
11/6/24,13.7,14,13.6,13.9,17,156678,2184813.2
11/5/24,14.1,14.3,13.8,13.8,26,166743,2314943.3
11/4/24,14,14.2,13.8,14,38,83450,1167321.8
11/1/24,14.3,14.3,13.8,13.8,28,123705,1713095.4
10/30/24,13.9,14.6,13.8,14.2,102,287891,4100027.3
10/29/24,13.5,14,13.4,13.9,30,189298,2595906.8
10/28/24,13.7,13.7,13.4,13.4,38,239142,3230053.4
10/25/24,13.8,13.9,13.6,13.9,17,38534,527215.6
10/24/24,14.3,14.3,13.8,13.8,36,75270,1046826.4
10/23/24,14.3,14.4,14,14.2,66,295472,4227974.8
10/22/24,14.1,14.6,14.1,14.3,53,270329,3885146.4
10/21/24,14.4,14.6,14,14,71,685227,9762332.3
10/18/24,14.2,14.3,14,14.3,64,329004,4653380.4
10/16/24,13,14.4,13,14,184,1016681,14207106.6
10/15/24,13.1,13.5,13.1,13.2,56,599087,7905410.5
10/14/24,13.1,13.5,13,13.3,64,376691,5000756.5
10/11/24,12.7,13.3,12.5,13,111,764565,9940579.6
10/10/24,12.6,12.7,12.6,12.6,34,111352,1403235.6
10/9/24,12.4,12.7,12.3,12.6,45,151879,1908631.7
10/8/24,12.6,12.6,12.3,12.4,20,2566718,31575692
10/7/24,12.1,12.6,12.1,12.2,33,95231,1173387.6
10/4/24,12.2,12.7,12,12.1,17,20570,248082.7
10/3/24,12.4,12.5,11,12.4,54,157975,1905568.7
10/2/24,13,13,12.4,12.4,6,1792,22221.7
10/1/24,13,13,12,12.2,52,143313,1755364.1
9/30/24,12.9,13,12.1,12.8,55,268307,3399340.6
9/27/24,12.9,12.9,12.2,12.4,41,134164,1660914.3
9/26/24,12.3,13.1,12,12.1,50,117454,1434863.2
9/25/24,12.8,13.1,12.8,13,65,300262,3897246.5
9/24/24,12.1,13,12.1,12.8,56,328803,4131030.3
9/23/24,11.5,12,11.5,12,15,43401,518412
9/20/24,11.8,11.8,11.4,11.5,24,36043,414858.6
9/19/24,11.5,11.8,11.1,11.5,29,81904,941837.7
9/18/24,11.5,11.5,11.5,11.5,5,10100,116150
9/13/24,11.2,11.6,11,11.6,25,91620,1013511
9/12/24,11.7,11.7,11.7,11.2,2,48,561.6
9/11/24,11.7,11.7,11.1,11.2,11,1855,20923
9/10/24,11.1,11.5,11,11.5,12,120624,1358700.7
9/6/24,11.5,11.7,11.5,11.6,5,8635,100015.8
9/5/24,11.4,11.5,11.4,11.4,2,220,2510
9/4/24,11.8,11.8,11.4,11.4,8,32845,378476
9/3/24,11,11.4,10.9,11.3,20,100218,1129671.7
9/2/24,11.1,11.3,11,11.3,29,145426,1632354.5
8/30/24,11.1,12.1,11.1,12,74,202991,2433722.9
8/29/24,11.3,11.3,11.3,11.3,11,10801,122051.3
8/28/24,11.3,11.3,11.1,11.2,13,35800,402800
8/27/24,11.3,11.3,11.2,11.2,21,53530,604379
8/26/24,11.6,11.6,11.3,11.3,14,5342,61023.3
8/23/24,11.8,11.8,11.6,11.6,17,26900,314064
8/22/24,11.9,11.9,11.7,11.8,10,21251,250656.9
8/21/24,11.9,11.9,11.9,11.9,6,2950,35105
8/20/24,11.9,11.9,11.7,11.9,5,13701,160321.9
8/16/24,11.9,11.9,11.7,11.9,13,26113,309644.5
8/15/24,12,12.1,11.9,12,37,381558,4579006
8/14/24,11.8,12,11.7,11.8,52,106975,1265526.2
8/13/24,11.2,11.8,11.2,11.5,18,20236,234268.9
8/12/24,11.4,11.4,11.3,11.3,11,22200,251070.8
8/9/24,11.4,11.9,11.4,11.7,8,11751,134766.9
8/8/24,11.7,11.8,11.5,11.8,12,25779,297708.7
8/7/24,11.6,11.9,11.6,11.8,13,5628,66146.6
8/6/24,11.7,12,11.6,11.6,7,6021,69952.4
8/5/24,12,12.3,11.7,11.7,27,54238,639854.8
8/2/24,12,12.4,12,12.1,9,10553,126655.2
8/1/24,12,12.3,12,12.3,3,41,492.3
7/31/24,12,12.5,11.9,12.3,33,110915,1355858.1
7/30/24,12.1,12.2,12,12,11,4110,49614
7/29/24,12.3,12.4,12.1,12.1,6,1340,16391.2
7/26/24,12.3,12.3,12.2,12.2,11,9490,115880.2
7/25/24,12.5,12.5,12.1,12.1,25,37627,457537
7/24/24,12.2,12.5,12.2,12.2,32,72853,890860.4
7/23/24,12.3,12.5,12.2,12.4,14,15530,192329.3
7/22/24,12.3,12.3,12.2,12.2,16,25530,312029.7
7/19/24,12.7,12.8,12.5,12.5,13,164201,2052573.4
7/18/24,12.4,12.8,12.3,12.5,14,39384,493234.4
7/17/24,12.8,12.8,12.5,12.5,27,129859,1626587.8
7/16/24,13,13,12.5,12.7,33,97427,1237216
7/15/24,13,13.1,12.9,12.9,12,15399,199602.1
7/12/24,13,13,12.8,12.8,4,1617,20747.6
7/11/24,13.2,13.2,12.8,12.9,15,17651,227208.9
